statecode,state_year,bachelors_and_above_perc,is_after_brady_bill_fed_check_law,has_universal_background_checks,is_dem_majority,n_pub_mass_shooting_victims,n_pub_mass_shootings,population,median_income,statename,year,treatnew (21 states),treatyearnew
1,Alabama_1984,12.2,0,0,0,0,0,3951820,43113,Alabama,1984,0,0
1,Alabama_1985,12.2,0,0,0,0,0,3972523,44145,Alabama,1985,0,0
1,Alabama_1986,12.2,0,0,0,0,0,3991569,45277,Alabama,1986,0,0
1,Alabama_1987,12.2,0,0,0,0,0,4015264,45148,Alabama,1987,0,0
1,Alabama_1988,12.2,0,0,0,0,0,4023844,44047,Alabama,1988,0,0
1,Alabama_1989,12.2,0,0,0,0,0,4030222,45028,Alabama,1989,0,0
1,Alabama_1990,15.7,0,0,0,0,0,4048508,47092,Alabama,1990,0,0
1,Alabama_1991,15.7,0,0,0,0,0,4091025,47363,Alabama,1991,0,0
1,Alabama_1992,15.7,0,0,0,0,0,4139269,48989,Alabama,1992,0,0
1,Alabama_1993,15.7,0,0,0,0,0,4193114,46440,Alabama,1993,0,0
1,Alabama_1994,15.7,1,0,0,4,1,4232965,49324,Alabama,1994,0,0
1,Alabama_1995,15.7,1,0,0,0,0,4262731,46029,Alabama,1995,0,0
1,Alabama_1996,15.7,1,0,0,0,0,4290403,52272,Alabama,1996,0,0
1,Alabama_1997,15.7,1,0,0,0,0,4320281,53930,Alabama,1997,0,0
1,Alabama_1998,15.7,1,0,0,0,0,4351037,60418,Alabama,1998,0,0
1,Alabama_1999,15.7,1,0,0,0,0,4369862,59134,Alabama,1999,0,0
1,Alabama_2000,20.4,1,0,0,0,0,4452173,55888,Alabama,2000,0,0
1,Alabama_2001,20.2,1,0,0,0,0,4467634,53936,Alabama,2001,0,0
1,Alabama_2002,22.7,1,0,0,0,0,4480089,56789,Alabama,2002,0,0
1,Alabama_2003,22.7,1,0,0,0,0,4503491,55014,Alabama,2003,0,0
1,Alabama_2004,22.3,1,0,0,0,0,4530729,52667,Alabama,2004,0,0
1,Alabama_2005,19.8,1,0,0,0,0,4569805,51666,Alabama,2005,0,0
1,Alabama_2006,21.1,1,0,0,0,0,4628981,51124,Alabama,2006,0,0
1,Alabama_2007,21.4,1,0,0,0,0,4672840,55294,Alabama,2007,0,0
1,Alabama_2008,22,1,0,0,0,0,4718206,56105,Alabama,2008,0,0
1,Alabama_2009,22,1,0,0,17,1,4757938,50609,Alabama,2009,0,0
1,Alabama_2010,21.9,1,0,0,6,1,4785514,50975,Alabama,2010,0,0
1,Alabama_2011,22.3,1,0,0,0,0,4799642,51417,Alabama,2011,0,0
1,Alabama_2012,23.3,1,0,0,0,0,4816632,51384,Alabama,2012,0,0
1,Alabama_2013,23.5,1,0,0,8,1,4831586,55126,Alabama,2013,0,0
1,Alabama_2014,23.5,1,0,0,0,0,4843737,48432,Alabama,2014,0,0
1,Alabama_2015,24.2,1,0,0,0,0,4854803,50900,Alabama,2015,0,0
1,Alabama_2016,24.7,1,0,0,6,1,4866824,53314,Alabama,2016,0,0
1,Alabama_2017,25.5,1,0,0,0,0,4877989,56219,Alabama,2017,0,0
1,Alabama_2018,25.5,1,0,0,0,0,4891628,53879,Alabama,2018,0,0
1,Alabama_2019,26.3,1,0,0,0,0,4907965,59558,Alabama,2019,0,0
1,Alabama_2020,27.8,1,0,0,7,1,5031362,57243,Alabama,2020,0,0
1,Alabama_2021,27.4,1,0,0,0,0,5049846,56929,Alabama,2021,0,0
2,Alaska_1984,21.1,0,0,0,0,0,513702,80587,Alaska,1984,0,0
2,Alaska_1985,21.1,0,0,0,0,0,532495,83754,Alaska,1985,0,0
2,Alaska_1986,21.1,0,0,0,0,0,544268,74205,Alaska,1986,0,0
2,Alaska_1987,21.1,0,0,0,0,0,539309,76032,Alaska,1987,0,0
2,Alaska_1988,21.1,0,0,0,0,0,541983,73094,Alaska,1988,0,0
2,Alaska_1989,21.1,0,0,0,0,0,547159,76174,Alaska,1989,0,0
2,Alaska_1990,23,0,0,0,0,0,553120,79231,Alaska,1990,0,0
2,Alaska_1991,23,0,0,0,0,0,569273,79006,Alaska,1991,0,0
2,Alaska_1992,23,0,0,0,0,0,587073,79348,Alaska,1992,0,0
2,Alaska_1993,23,0,0,0,0,0,596993,79487,Alaska,1993,0,0
2,Alaska_1994,23,1,0,0,0,0,600624,82279,Alaska,1994,0,0
2,Alaska_1995,23,1,0,0,0,0,601345,84925,Alaska,1995,0,0
2,Alaska_1996,23,1,0,0,0,0,604918,91045,Alaska,1996,0,0
2,Alaska_1997,23,1,0,0,4,1,608846,81039,Alaska,1997,0,0
2,Alaska_1998,23,1,0,0,0,0,615205,84451,Alaska,1998,0,0
2,Alaska_1999,23,1,0,0,0,0,619500,83839,Alaska,1999,0,0
2,Alaska_2000,28.1,1,0,0,0,0,627963,83377,Alaska,2000,0,0
2,Alaska_2001,25.7,1,0,0,0,0,633714,87996,Alaska,2001,0,0
2,Alaska_2002,25.6,1,0,0,0,0,642337,79700,Alaska,2002,0,0
2,Alaska_2003,24,1,0,0,0,0,648414,76547,Alaska,2003,0,0
2,Alaska_2004,25.5,1,0,0,0,0,659286,79172,Alaska,2004,0,0
2,Alaska_2005,28.6,1,0,0,0,0,666946,77729,Alaska,2005,0,0
2,Alaska_2006,26.9,1,0,0,0,0,675302,75999,Alaska,2006,0,0
2,Alaska_2007,26,1,0,0,0,0,680300,82515,Alaska,2007,0,0
2,Alaska_2008,27.3,1,0,0,0,0,687455,80720,Alaska,2008,0,0
2,Alaska_2009,26.6,1,0,0,0,0,698895,77982,Alaska,2009,0,0
2,Alaska_2010,27.9,1,0,0,0,0,713982,72039,Alaska,2010,0,0
2,Alaska_2011,26.4,1,0,0,0,0,722349,69334,Alaska,2011,0,0
2,Alaska_2012,28,1,0,0,0,0,730810,75246,Alaska,2012,0,0
2,Alaska_2013,28,1,0,0,0,0,737626,84427,Alaska,2013,0,0
2,Alaska_2014,28,1,0,0,0,0,737075,77473,Alaska,2014,0,0
2,Alaska_2015,29.7,1,0,0,0,0,738430,85898,Alaska,2015,0,0
2,Alaska_2016,29.6,1,0,0,0,0,742575,85494,Alaska,2016,0,0
2,Alaska_2017,28.8,1,0,0,0,0,740983,86196,Alaska,2017,0,0
2,Alaska_2018,30.2,1,0,0,0,0,736624,74161,Alaska,2018,0,0
2,Alaska_2019,30.2,1,0,0,0,0,733603,83079,Alaska,2019,0,0
2,Alaska_2020,31.9,1,0,0,0,0,732923,78236,Alaska,2020,0,0
2,Alaska_2021,32.8,1,0,0,0,0,734182,81133,Alaska,2021,0,0
3,Arizona_1984,17.4,0,0,0,0,0,3067135,53362,Arizona,1984,0,0
3,Arizona_1985,17.4,0,0,0,0,0,3183538,57495,Arizona,1985,0,0
3,Arizona_1986,17.4,0,0,0,0,0,3308262,60347,Arizona,1986,0,0
3,Arizona_1987,17.4,0,0,0,0,0,3437103,61198,Arizona,1987,0,0
3,Arizona_1988,17.4,0,0,0,0,0,3535183,58371,Arizona,1988,0,0
3,Arizona_1989,17.4,0,0,0,0,0,3622185,60404,Arizona,1989,0,0
3,Arizona_1990,20.3,0,0,0,0,0,3679056,58921,Arizona,1990,0,0
3,Arizona_1991,20.3,0,0,0,9,1,3762394,59796,Arizona,1991,0,0
3,Arizona_1992,20.3,0,0,0,0,0,3867333,55727,Arizona,1992,0,0
3,Arizona_1993,20.3,0,0,0,0,0,3993390,56490,Arizona,1993,0,0
3,Arizona_1994,20.3,1,0,0,0,0,4147561,56754,Arizona,1994,0,0
3,Arizona_1995,20.3,1,0,0,0,0,4306908,54658,Arizona,1995,0,0
3,Arizona_1996,20.3,1,0,1,0,0,4432308,54575,Arizona,1996,0,0
3,Arizona_1997,20.3,1,0,1,0,0,4552207,55283,Arizona,1997,0,0
3,Arizona_1998,20.3,1,0,1,0,0,4667277,61791,Arizona,1998,0,0
3,Arizona_1999,20.3,1,0,1,0,0,4778332,60348,Arizona,1999,0,0
3,Arizona_2000,24.6,1,0,0,0,0,5160586,62766,Arizona,2000,0,0
3,Arizona_2001,24.4,1,0,0,0,0,5273477,65509,Arizona,2001,0,0
3,Arizona_2002,26.3,1,0,0,0,0,5396255,60007,Arizona,2002,0,0
3,Arizona_2003,26,1,0,0,0,0,5510364,60789,Arizona,2003,0,0
3,Arizona_2004,28,1,0,0,0,0,5652404,63043,Arizona,2004,0,0
3,Arizona_2005,28,1,0,0,0,0,5839077,62924,Arizona,2005,0,0
3,Arizona_2006,25.5,1,0,0,0,0,6029141,62850,Arizona,2006,0,0
3,Arizona_2007,25.3,1,0,0,0,0,6167681,61848,Arizona,2007,0,0
3,Arizona_2008,25.1,1,0,0,0,0,6280362,59180,Arizona,2008,0,0
3,Arizona_2009,25.6,1,0,0,0,0,6343154,57899,Arizona,2009,0,0
3,Arizona_2010,25.9,1,0,0,0,0,6407342,58400,Arizona,2010,0,0
3,Arizona_2011,26.6,1,0,0,21,1,6473416,58698,Arizona,2011,0,0
3,Arizona_2012,27.3,1,0,0,9,2,6556344,55616,Arizona,2012,0,0
3,Arizona_2013,27.4,1,0,0,0,0,6634690,61290,Arizona,2013,0,0
3,Arizona_2014,27.6,1,0,0,0,0,6732873,56424,Arizona,2014,0,0
3,Arizona_2015,27.7,1,0,0,4,1,6832810,59751,Arizona,2015,0,0
3,Arizona_2016,28.9,1,0,0,0,0,6944767,64468,Arizona,2016,0,0
3,Arizona_2017,29.4,1,0,0,0,0,7048088,65984,Arizona,2017,0,0
3,Arizona_2018,29.7,1,0,0,11,2,7164228,67201,Arizona,2018,0,0
3,Arizona_2019,30.2,1,0,0,0,0,7291843,74897,Arizona,2019,0,0
3,Arizona_2020,33,1,0,1,0,0,7179943,70220,Arizona,2020,0,0
3,Arizona_2021,32.4,1,0,1,0,0,7264877,70821,Arizona,2021,0,0
4,Arkansas_1984,10.8,0,0,0,0,0,2319768,39038,Arkansas,1984,0,0
4,Arkansas_1985,10.8,0,0,0,0,0,2327046,42021,Arkansas,1985,0,0
4,Arkansas_1986,10.8,0,0,0,0,0,2331984,44325,Arkansas,1986,0,0
4,Arkansas_1987,10.8,0,0,0,0,0,2342355,43073,Arkansas,1987,0,0
4,Arkansas_1988,10.8,0,0,0,0,0,2342656,44541,Arkansas,1988,0,0
4,Arkansas_1989,10.8,0,0,0,0,0,2346358,45343,Arkansas,1989,0,0
4,Arkansas_1990,13.3,0,0,0,0,0,2354343,45940,Arkansas,1990,0,0
4,Arkansas_1991,13.3,0,0,0,0,0,2370666,45590,Arkansas,1991,0,0
4,Arkansas_1992,13.3,0,0,1,0,0,2394098,45333,Arkansas,1992,0,0
4,Arkansas_1993,13.3,0,0,1,0,0,2423743,42657,Arkansas,1993,0,0
4,Arkansas_1994,13.3,1,0,1,0,0,2450605,46366,Arkansas,1994,0,0
4,Arkansas_1995,13.3,1,0,1,0,0,2480121,45716,Arkansas,1995,0,0
4,Arkansas_1996,13.3,1,0,1,0,0,2504858,46788,Arkansas,1996,0,0
4,Arkansas_1997,13.3,1,0,1,0,0,2524007,44175,Arkansas,1997,0,0
4,Arkansas_1998,13.3,1,0,1,15,1,2538202,46089,Arkansas,1998,0,0
4,Arkansas_1999,13.3,1,0,1,0,0,2551373,48418,Arkansas,1999,0,0
4,Arkansas_2000,18.4,1,0,0,0,0,2678588,46853,Arkansas,2000,0,0
4,Arkansas_2001,18.6,1,0,0,0,0,2691571,51143,Arkansas,2001,0,0
4,Arkansas_2002,18.3,1,0,0,0,0,2705927,48911,Arkansas,2002,0,0
4,Arkansas_2003,17.4,1,0,0,0,0,2724816,47257,Arkansas,2003,0,0
4,Arkansas_2004,18.8,1,0,0,0,0,2749686,50301,Arkansas,2004,0,0
4,Arkansas_2005,17.5,1,0,0,0,0,2781097,50981,Arkansas,2005,0,0
4,Arkansas_2006,18.2,1,0,0,0,0,2821761,49918,Arkansas,2006,0,0
4,Arkansas_2007,19.3,1,0,0,0,0,2848650,53438,Arkansas,2007,0,0
4,Arkansas_2008,18.8,1,0,0,0,0,2874554,49936,Arkansas,2008,0,0
4,Arkansas_2009,18.9,1,0,0,5,1,2896843,46252,Arkansas,2009,0,0
4,Arkansas_2010,19.5,1,0,0,6,1,2921998,48053,Arkansas,2010,0,0
4,Arkansas_2011,20.3,1,0,0,0,0,2941038,49862,Arkansas,2011,0,0
