state_year,is_after_brady_bill_fed_check_law,has_universal_background_checks,education_attainment,treatnew (21 states),treatyearnew,is_dem_majority,n_pub_mass_shooting_victims,n_pub_mass_shootings,population,unemployed,p_white,p_black,p_asian,p_nativeamerican,p_nonwhite,median_income
Alabama_1984,0,0,12.2,0,0,0,0,0,3951820.0,0.0312984,0.7376384,0.2565559,0.0027532,0.002424,0.2623616,43113
Alabama_1985,0,0,12.78,0,0,0,0,0,3972523.0,0.031393033333333334,0.7396563333333334,0.2537494,0.0030835166666666664,0.0028013833333333333,0.26034366666666664,44145
Alabama_1986,0,0,13.36,0,0,0,0,0,3991569.0,0.031487666666666664,0.7416742666666667,0.2509429,0.003413833333333333,0.0031787666666666667,0.2583257333333333,45277
Alabama_1987,0,0,13.94,0,0,0,0,0,4015264.0,0.031582299999999994,0.7436922,0.24813640000000003,0.0037441499999999995,0.00355615,0.2563078,45148
Alabama_1988,0,0,14.52,0,0,0,0,0,4023844.0,0.031676933333333324,0.7457101333333334,0.24532990000000005,0.004074466666666666,0.0039335333333333335,0.25428986666666664,44047
Alabama_1989,0,0,15.1,0,0,0,0,0,4030222.0,0.031771566666666654,0.7477280666666667,0.24252340000000006,0.004404783333333333,0.004310916666666667,0.2522719333333333,45028
Alabama_1990,0,0,15.7,0,0,0,0,0,4048508.0,0.0318662,0.749746,0.2397169,0.0047351,0.0046883,0.250254,47092
Alabama_1991,0,0,16.17,0,0,0,0,0,4091025.0,0.03141028,0.74995031,0.23760962000000002,0.00507138,0.0046149500000000005,0.25004969,47363
Alabama_1992,0,0,16.64,0,0,0,0,0,4139269.0,0.03095436,0.75015462,0.23550234000000003,0.00540766,0.004541600000000001,0.24984538,48989
Alabama_1993,0,0,17.11,0,0,0,0,0,4193113.9999999995,0.03049844,0.75035893,0.23339506000000004,0.0057439399999999995,0.004468250000000001,0.24964107000000002,46440
Alabama_1994,1,0,17.58,0,0,0,4,1,4232965.0,0.030042520000000003,0.75056324,0.23128778000000005,0.006080219999999999,0.004394900000000001,0.24943676000000004,49324
Alabama_1995,1,0,18.05,0,0,0,0,0,4262731.0,0.029586600000000005,0.75076755,0.22918050000000006,0.006416499999999999,0.004321550000000001,0.24923245000000005,46029
Alabama_1996,1,0,18.52,0,0,0,0,0,4290403.0,0.029130680000000006,0.7509718599999999,0.22707322000000008,0.006752779999999998,0.0042482000000000015,0.24902814000000006,52272
Alabama_1997,1,0,18.99,0,0,0,0,0,4320281.0,0.028674760000000007,0.7511761699999999,0.2249659400000001,0.007089059999999998,0.004174850000000002,0.24882383000000008,53930
Alabama_1998,1,0,19.46,0,0,0,0,0,4351037.0,0.02821884000000001,0.7513804799999999,0.2228586600000001,0.007425339999999997,0.004101500000000002,0.2486195200000001,60418
Alabama_1999,1,0,19.93,0,0,0,0,0,4369862.0,0.02776292000000001,0.7515847899999999,0.2207513800000001,0.007761619999999997,0.004028150000000002,0.2484152100000001,59134
Alabama_2000,1,0,20.4,0,0,0,0,0,4452173.0,0.027307,0.7517891,0.2186441,0.0080979,0.0039548,0.2482109,55888
Alabama_2001,1,0,20.2,0,0,0,0,0,4467634.0,0.0318416,0.733412,0.236174,0.0067035,0.0049656,0.266588,53936
Alabama_2002,1,0,22.7,0,0,0,0,0,4480089.0,0.0325654,0.7318425,0.2309303,0.0089859,0.004324,0.2681576,56789
Alabama_2003,1,0,22.5,0,0,0,0,0,4503491.0,0.0363988,0.7399014,0.2283823,0.0083037,0.0039958,0.2600986,55014
Alabama_2004,1,0,22.3,0,0,0,0,0,4530729.0,0.0318069,0.7492495,0.2230312,0.0076004,0.0051095,0.2507505,52667
Alabama_2005,1,0,19.8,0,0,0,0,0,4569805.0,0.0306804,0.7466289,0.2176615,0.0105416,0.0059077,0.2533711,51666
Alabama_2006,1,0,21.1,0,0,0,0,0,4628981.0,0.0286911,0.7410566,0.2233613,0.0105066,0.0054873,0.2589434,51124
Alabama_2007,1,0,21.4,0,0,0,0,0,4672840.0,0.0275729,0.7417651,0.2223161,0.0096347,0.0054301,0.2582349,55294
Alabama_2008,1,0,22.0,0,0,0,0,0,4718206.0,0.0297343,0.7405145,0.2254035,0.009056,0.0060232,0.2594855,56105
Alabama_2009,1,0,21.95,0,0,0,17,1,4757938.0,0.0470415,0.7356941,0.2248391,0.0100582,0.0060432,0.264306,50609
Alabama_2010,1,0,21.9,0,0,0,6,1,4785514.0,0.0485562,0.7276267,0.2360877,0.0096818,0.0059353,0.2723733,50975
Alabama_2011,1,0,22.3,0,0,0,0,0,4799642.0,0.047819,0.7101011,0.2538545,0.0097985,0.0053727,0.2898989,51417
Alabama_2012,1,0,23.3,0,0,0,0,0,4816632.0,0.0413434,0.7153433,0.247684,0.0101633,0.0057509,0.2846567,51384
Alabama_2013,1,0,23.5,0,0,0,8,1,4831586.0,0.0396563,0.7221967,0.238377,0.0108705,0.0049962,0.2778033,55126
Alabama_2014,1,0,23.85,0,0,0,0,0,4843737.0,0.0329965,0.7217375,0.2383613,0.010127,0.0051054,0.2782625,48432
Alabama_2015,1,0,24.2,0,0,0,0,0,4854803.0,0.029973,0.7237552,0.2362878,0.0101104,0.0046339,0.2762448,50900
Alabama_2016,1,0,24.7,0,0,0,6,1,4866824.0,0.0265217,0.728236,0.2302188,0.0120439,0.0048469,0.271764,53314
Alabama_2017,1,0,25.5,0,0,0,0,0,4877989.0,0.0242208,0.7309686,0.2233393,0.0132018,0.0053731,0.2690314,56219
Alabama_2018,1,0,25.9,0,0,0,0,0,4891628.0,0.0223957,0.7441028,0.2117127,0.0118258,0.004521,0.2558972,53879
Alabama_2019,1,0,26.3,0,0,0,0,0,4907965.0,0.0200907,0.7462189,0.2105338,0.0126308,0.0044964,0.2537811,59558
Alabama_2020,1,0,27.8,0,0,0,7,1,5031362.0,0.022477,0.6907504,0.2215232,0.0128114,0.0062154,0.3092496,57243
Alabama_2021,1,0,27.4,0,0,0,0,0,5049846.0,0.0208673,0.6948859,0.2130239,0.0146434,0.0070901,0.3051141,56929
Alaska_1984,0,0,21.1,0,0,0,0,0,513702.0,0.0446271,0.7765769,0.0349291,0.0194781,0.1666324,0.223423,80587
Alaska_1985,0,0,21.42,0,0,0,0,0,532495.0,0.04490438333333334,0.7592016,0.033841866666666665,0.0211082,0.1823787666666667,0.24079833333333334,83754
Alaska_1986,0,0,21.74,0,0,0,0,0,544268.0,0.045181666666666676,0.7418263,0.03275463333333333,0.0227383,0.19812513333333337,0.2581736666666667,74205
Alaska_1987,0,0,22.06,0,0,0,0,0,539309.0,0.04545895000000001,0.7244510000000001,0.0316674,0.0243684,0.21387150000000005,0.27554900000000004,76032
Alaska_1988,0,0,22.38,0,0,0,0,0,541983.0,0.04573623333333335,0.7070757000000001,0.030580166666666665,0.025998499999999997,0.22961786666666673,0.2929243333333334,73094
Alaska_1989,0,0,22.7,0,0,0,0,0,547159.0,0.046013516666666684,0.6897004000000001,0.029492933333333332,0.027628599999999996,0.2453642333333334,0.31029966666666675,76174
Alaska_1990,0,0,23.0,0,0,0,0,0,553120.0,0.0462908,0.6723251,0.0284057,0.0292587,0.2611106,0.327675,79231
Alaska_1991,0,0,23.51,0,0,0,0,0,569273.0,0.04522843,0.68184292,0.028427309999999997,0.03073618,0.24512724000000002,0.31815717,79006
Alaska_1992,0,0,24.02,0,0,0,0,0,587073.0,0.04416606,0.69136074,0.028448919999999996,0.03221366,0.22914388000000002,0.30863934,79348
Alaska_1993,0,0,24.53,0,0,0,0,0,596993.0,0.04310369,0.70087856,0.028470529999999994,0.03369114,0.21316052000000002,0.29912151,79487
