deaths,injuries,date,state,url,year
4,10,"April 25, 1965",California,/wiki/1965_Highway_101_sniper_attack,1965
5,2,"November 12, 1966 (1966-11-12)",Arizona,/wiki/Rose-Mar_College_of_Beauty_shooting,1966
18,31,"August 1, 1966; 56 years ago (1966-08-01) Stabbings: c. 12:30 a.m. and 3:00 a.m.Shootings: 11:48 a.m. – 1:24 p.m. (UTC−06:00)",Texas,/wiki/University_of_Texas_tower_shooting,1966
3,28,"February 8, 1968 approx. 10:30 p.m. (Eastern: UTC−5)",South Carolina,/wiki/Orangeburg_massacre,1968
2,18,"May 25, 1969",North Carolina,/wiki/1969_Greensboro_uprising,1969
2,12,"May 15, 1970 12:05 a.m. (Central: UTC−6)",Mississippi,/wiki/Jackson_State_killings,1970
4,9,"May 4, 1970; 53 years ago (1970-05-04) 12:24 p.m. (Eastern Daylight Time: UTC−4)",Ohio,/wiki/Kent_State_shootings,1970
4,3,"August 7, 1970",California,/wiki/Marin_County_Civic_Center_attacks,1970
8,0,"June 14, 1971",Michigan,/wiki/Hazelwood_massacre,1971
5,1,"November 9, 1971",New Jersey,/wiki/John_List_(murderer),1971
3,1,"February 15, 1971",Texas,/wiki/1971_shooting_of_Dallas_police_officers,1971
9,12,"December 31, 1972, and January 7, 1973",Louisiana,/wiki/Mark_Essex,1973
5,7,"May 29, 1972",North Carolina,/wiki/North_Hills_Mall_shooting,1972
9,12,"December 31, 1972, and January 7, 1973",Louisiana,/wiki/Mark_Essex,1973
7,2,"January 18, 1973",Washington,/wiki/1973_Hanafi_Muslim_massacre,1973
3,11,"Monday, December 30, 1974 2:50 p.m. - 5:20 p.m. (EST)",New York,/wiki/Olean_High_School_shooting,1974
11,0,"March 30, 1975; 48 years ago (1975-03-30)",Ohio,/wiki/Easter_Sunday_Massacre,1975
7,2,"July 12, 1976 (1976-07-12), 46 years ago",California,"/wiki/California_State_University,_Fullerton_massacre",1976
5,11,"Sunday, September 4, 1977; 45 years ago (1977-09-04) 02:40 a.m. (PST)",Washington,/wiki/Golden_Dragon_massacre,1977
4,1,"November 17, 1978 c. 11:00 pm",Indiana,/wiki/Burger_Chef_murders,1978
2,9,"January 29, 1979",California,/wiki/Cleveland_Elementary_School_shooting_(San_Diego),1979
5,12,"November 3, 1979",North Carolina,/wiki/Greensboro_massacre,1979
5,11,"June 22, 1980",Texas,/wiki/Daingerfield_church_shooting,1980
5,18,"May 7, 1981 10:30 p.m.",Oregon,/wiki/Oregon_Museum_Tavern_shooting,1981
13,1,"September 25, 1982; 40 years ago (1982-09-25)",Pennsylvania,/wiki/1982_Wilkes-Barre_shootings,1982
8,3,"August 20, 1982c. 11:00 a.m.",Florida,/wiki/Carl_Robert_Brown,1982
