DATE,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,YEAR
1950-01-01,3058.0,135.0,756.0,1908.0,10677.0,1325.0,2016.0,321.0,806.0,2810.0,3458.0,498.0,590.0,8738.0,3967.0,2625.0,1916.0,2936.0,2697.0,917.0,2355.0,4686.0,6407.0,2997.0,2176.0,3964.0,593.0,1327.0,162.0,532.0,4872.0,689.0,14865.0,4068.0,619.0,7980.0,2229.0,1532.0,10507.0,786.0,2113.0,655.0,3315.0,7776.0,696.0,379.0,3315.0,2387.0,2006.0,3438.0,290.0,1950
1951-01-01,3059.0,158.0,785.0,1901.0,11134.0,1326.0,2028.0,331.0,808.0,2980.0,3531.0,514.0,589.0,8790.0,4096.0,2617.0,1950.0,2941.0,2769.0,916.0,2441.0,4654.0,6497.0,3010.0,2163.0,4015.0,596.0,1316.0,168.0,529.0,5006.0,717.0,14890.0,4120.0,604.0,8061.0,2210.0,1556.0,10461.0,784.0,2167.0,655.0,3372.0,8111.0,706.0,378.0,3434.0,2424.0,1984.0,3439.0,291.0,1951
1952-01-01,3068.0,189.0,842.0,1838.0,11635.0,1365.0,2081.0,341.0,805.0,3157.0,3584.0,517.0,587.0,8956.0,4148.0,2626.0,1977.0,2920.0,2842.0,915.0,2500.0,4650.0,6650.0,3030.0,2152.0,3972.0,602.0,1311.0,181.0,535.0,5125.0,735.0,15192.0,4109.0,608.0,8275.0,2219.0,1582.0,10503.0,802.0,2178.0,651.0,3352.0,8314.0,724.0,375.0,3504.0,2448.0,1957.0,3469.0,293.0,1952
1953-01-01,3053.0,205.0,894.0,1780.0,12251.0,1431.0,2168.0,351.0,810.0,3310.0,3558.0,510.0,596.0,9065.0,4182.0,2629.0,1994.0,2903.0,2866.0,913.0,2567.0,4806.0,6822.0,3050.0,2105.0,4020.0,616.0,1318.0,195.0,547.0,5229.0,756.0,15527.0,4120.0,609.0,8591.0,2182.0,1601.0,10662.0,815.0,2181.0,648.0,3319.0,8336.0,739.0,379.0,3557.0,2466.0,1929.0,3506.0,290.0,1953
1954-01-01,3014.0,215.0,933.0,1734.0,12746.0,1493.0,2249.0,368.0,791.0,3505.0,3602.0,505.0,600.0,9252.0,4264.0,2626.0,2042.0,2902.0,2883.0,927.0,2685.0,4910.0,7066.0,3113.0,2064.0,4066.0,624.0,1340.0,213.0,554.0,5360.0,763.0,15814.0,4131.0,611.0,8873.0,2209.0,1626.0,10817.0,816.0,2176.0,655.0,3359.0,8382.0,750.0,377.0,3555.0,2516.0,1905.0,3608.0,293.0,1954
1955-01-01,3050.0,222.0,987.0,1725.0,13133.0,1546.0,2300.0,389.0,785.0,3747.0,3636.0,539.0,618.0,9435.0,4363.0,2679.0,2093.0,2910.0,2946.0,934.0,2742.0,4882.0,7285.0,3172.0,2060.0,4134.0,636.0,1374.0,237.0,557.0,5502.0,785.0,15966.0,4242.0,615.0,9017.0,2250.0,1659.0,10939.0,823.0,2200.0,663.0,3415.0,8660.0,783.0,375.0,3588.0,2604.0,1880.0,3679.0,307.0,1955
1956-01-01,3071.0,224.0,1053.0,1704.0,13713.0,1625.0,2316.0,408.0,759.0,4047.0,3701.0,559.0,628.0,9530.0,4458.0,2703.0,2119.0,2898.0,3032.0,938.0,2811.0,4891.0,7467.0,3240.0,2086.0,4163.0,656.0,1397.0,250.0,566.0,5615.0,806.0,16112.0,4309.0,613.0,9207.0,2273.0,1698.0,10972.0,840.0,2229.0,670.0,3415.0,8830.0,809.0,377.0,3722.0,2668.0,1857.0,3742.0,312.0,1956
1957-01-01,3109.0,231.0,1125.0,1733.0,14264.0,1664.0,2359.0,426.0,763.0,4372.0,3766.0,584.0,642.0,9668.0,4529.0,2716.0,2128.0,2928.0,3115.0,943.0,2873.0,4929.0,7569.0,3274.0,2088.0,4189.0,667.0,1394.0,260.0,572.0,5737.0,847.0,16374.0,4368.0,612.0,9410.0,2282.0,1712.0,10954.0,851.0,2274.0,666.0,3434.0,9070.0,826.0,376.0,3844.0,2724.0,1843.0,3791.0,314.0,1957
1958-01-01,3163.0,224.0,1193.0,1726.0,14880.0,1667.0,2446.0,433.0,757.0,4630.0,3804.0,605.0,646.0,9886.0,4583.0,2708.0,2142.0,2961.0,3155.0,944.0,2982.0,5010.0,7667.0,3313.0,2086.0,4186.0,666.0,1383.0,269.0,581.0,5890.0,886.0,16601.0,4376.0,606.0,9599.0,2267.0,1718.0,11058.0,858.0,2304.0,656.0,3471.0,9252.0,845.0,380.0,3914.0,2773.0,1845.0,3843.0,315.0,1958
1959-01-01,3204.0,224.0,1261.0,1756.0,15467.0,1710.0,2523.0,441.0,761.0,4808.0,3868.0,622.0,657.0,9986.0,4613.0,2729.0,2160.0,2999.0,3208.0,957.0,3066.0,5117.0,7767.0,3366.0,2138.0,4258.0,669.0,1397.0,279.0,596.0,6015.0,919.0,16685.0,4458.0,618.0,9671.0,2289.0,1746.0,11234.0,857.0,2348.0,667.0,3522.0,9405.0,870.0,387.0,3951.0,2821.0,1855.0,3891.0,320.0,1959
1960-01-01,3274.0,229.0,1321.0,1789.0,15870.0,1769.0,2544.0,449.0,765.0,5004.0,3956.0,642.0,671.0,10086.0,4674.0,2756.0,2183.0,3041.0,3260.0,975.0,3113.0,5160.0,7834.0,3425.0,2182.0,4326.0,679.0,1417.0,291.0,609.0,6103.0,954.0,16838.0,4573.0,634.0,9734.0,2336.0,1772.0,11329.0,855.0,2392.0,683.0,3575.0,9624.0,900.0,389.0,3986.0,2855.0,1853.0,3962.0,331.0,1960
1961-01-01,3316.0,238.0,1407.0,1806.0,16497.0,1844.0,2586.0,461.0,778.0,5243.0,4015.0,659.0,684.0,10130.0,4730.0,2756.0,2215.0,3054.0,3287.0,995.0,3176.0,5219.0,7893.0,3470.0,2206.0,4349.0,696.0,1446.0,315.0,618.0,6265.0,965.0,17061.0,4663.0,641.0,9854.0,2380.0,1787.0,11392.0,858.0,2409.0,693.0,3622.0,9820.0,936.0,390.0,4095.0,2882.0,1828.0,4009.0,337.0,1961
1962-01-01,3323.0,246.0,1471.0,1853.0,17072.0,1899.0,2647.0,469.0,788.0,5458.0,4086.0,684.0,692.0,10280.0,4736.0,2750.0,2231.0,3079.0,3345.0,994.0,3263.0,5263.0,7933.0,3513.0,2243.0,4357.0,698.0,1464.0,352.0,632.0,6376.0,979.0,17301.0,4707.0,637.0,9929.0,2427.0,1818.0,11355.0,871.0,2423.0,705.0,3673.0,10053.0,958.0,393.0,4180.0,2942.0,1809.0,4049.0,333.0,1962
1963-01-01,3358.0,256.0,1521.0,1875.0,17668.0,1936.0,2727.0,483.0,798.0,5628.0,4172.0,682.0,683.0,10402.0,4799.0,2747.0,2217.0,3096.0,3377.0,993.0,3386.0,5344.0,8058.0,3531.0,2244.0,4392.0,703.0,1476.0,397.0,649.0,6531.0,989.0,17461.0,4742.0,644.0,9986.0,2439.0,1853.0,11424.0,876.0,2460.0,708.0,3718.0,10159.0,974.0,397.0,4276.0,2955.0,1796.0,4112.0,336.0,1963
1964-01-01,3395.0,263.0,1556.0,1897.0,18151.0,1970.0,2798.0,497.0,798.0,5781.0,4258.0,700.0,680.0,10580.0,4856.0,2746.0,2209.0,3129.0,3446.0,993.0,3492.0,5448.0,8187.0,3558.0,2241.0,4442.0,706.0,1482.0,426.0,663.0,6660.0,1006.0,17589.0,4802.0,649.0,10080.0,2446.0,1888.0,11519.0,885.0,2475.0,701.0,3771.0,10270.0,978.0,399.0,4357.0,2961.0,1797.0,4165.0,339.0,1964
1965-01-01,3443.0,271.0,1584.0,1894.0,18585.0,1985.0,2857.0,507.0,797.0,5954.0,4332.0,704.0,686.0,10693.0,4922.0,2742.0,2206.0,3140.0,3496.0,997.0,3600.0,5502.0,8357.0,3592.0,2246.0,4467.0,706.0,1471.0,444.0,676.0,6767.0,1012.0,17734.0,4863.0,649.0,10201.0,2440.0,1937.0,11620.0,893.0,2494.0,692.0,3798.0,10378.0,994.0,404.0,4411.0,2967.0,1786.0,4232.0,332.0,1965
1966-01-01,3464.0,271.0,1614.0,1899.0,18858.0,2007.0,2903.0,516.0,791.0,6104.0,4379.0,710.0,689.0,10836.0,4999.0,2762.0,2200.0,3147.0,3550.0,999.0,3695.0,5535.0,8512.0,3617.0,2245.0,4523.0,707.0,1456.0,446.0,681.0,6851.0,1007.0,17843.0,4896.0,647.0,10330.0,2454.0,1969.0,11664.0,899.0,2520.0,683.0,3822.0,10492.0,1009.0,413.0,4456.0,3057.0,1775.0,4274.0,323.0,1966
1967-01-01,3458.0,278.0,1646.0,1901.0,19176.0,2053.0,2935.0,525.0,791.0,6242.0,4408.0,723.0,688.0,10947.0,5053.0,2793.0,2197.0,3172.0,3581.0,1004.0,3757.0,5594.0,8630.0,3659.0,2228.0,4539.0,701.0,1457.0,449.0,697.0,6928.0,1000.0,17935.0,4952.0,626.0,10414.0,2489.0,1979.0,11681.0,909.0,2533.0,671.0,3859.0,10599.0,1019.0,423.0,4508.0,3174.0,1769.0,4303.0,322.0,1967
1968-01-01,3446.0,285.0,1682.0,1902.0,19394.0,2120.0,2964.0,534.0,778.0,6433.0,4482.0,734.0,695.0,10995.0,5093.0,2803.0,2216.0,3195.0,3603.0,994.0,3815.0,5618.0,8696.0,3703.0,2219.0,4568.0,700.0,1467.0,464.0,709.0,7005.0,994.0,18051.0,5004.0,621.0,10516.0,2503.0,2004.0,11741.0,922.0,2559.0,669.0,3878.0,10819.0,1029.0,430.0,4558.0,3270.0,1763.0,4345.0,324.0,1968
